mentee_id	name	no_1	no_2	no_3	no_4	no_5	degree	mentor_response	email	note
P036	name123	C07	C11	C09	C08	C12	PhD		mentee123@email.com	
P037	name124	E35	E32	E01	E04	E26	PhD		mentee124@email.com	
P038	name125	D01	D13	D03	D09	D22	PhD		mentee125@email.com	
P039	name126	D06	D04	B45	B03	B32	PhD		mentee126@email.com	
P040	name127	B07	B16	B04	B12	B08	PhD		mentee127@email.com	
P041	name128	B40	D04	B45	B12	D06	PhD		mentee128@email.com	
P042	name129	B42	B40	B16	B59	B46	PhD		mentee129@email.com	
P043	name130	A37	A36	A35	A33	A34	PhD		mentee130@email.com	
P044	name131	B40	B59	B12	B43	B30	PhD		mentee131@email.com	
P045	name132	E06	E21	E18	E16	E35	PhD		mentee132@email.com	
P046	name133	B03	B30	B11	B35	B32	PhD		mentee133@email.com	
P047	name134	A05	A36	A40	A45	A44	PhD		mentee134@email.com	
P048	name135	B19	B20	B26	B51	B52	PhD		mentee135@email.com	
P049	name136	C02	E02	E07	E33	C07	PhD		mentee136@email.com	
P050	name137	E07	E02	E08	E14	E15	PhD		mentee137@email.com	
P051	name138	A55	A19	A64	A18	A02	PhD		mentee138@email.com	
P052	name139	B01	B40	B42	B59	B48	PhD		mentee139@email.com	
P053	name140	E07	E09	E08	C09	C08	PhD		mentee140@email.com	
P054	name141	B40	B12	B46	B07	D16	PhD		mentee141@email.com	
P055	name142	E32	E33	C17	C15	C16	PhD		mentee142@email.com	
P056	name143	C02	C07	C12	C06		PhD		mentee143@email.com	
P057	name144	D01	D13	D09	D03	B54	PhD		mentee144@email.com	
P058	name145	A12	A15	A08	A06	A13	PhD		mentee145@email.com	
P059	name146	C22	C26	C13	C25	C27	PhD		mentee146@email.com	
P060	name147	A55	A19	A02	A61	A64	PhD		mentee147@email.com	
P061	name148	B40	B42	B43	B30	E25	PhD		mentee148@email.com	
P062	name149	E02	E06	C03	C02	B31	PhD		mentee149@email.com	
P063	name150	B38	B23	B15	B31	B40	PhD		mentee150@email.com	
P064	name151	D11	D16	B07	B46	B54	PhD		mentee151@email.com	
P065	name152	A30	A28	A29	A09	A12	PhD		mentee152@email.com	
P066	name153	E12	E18	E11	E22	E17	PhD		mentee153@email.com	
P067	name154	A34	A15	A32	A31	A62	PhD		mentee154@email.com	
P068	name155	B40	B59	D17	B30	B12	PhD		mentee155@email.com	
P069	name156	A33	A35	A37	A34	A36	PhD		mentee156@email.com	
P070	name157	B39	B43	B42	B40	B41	PhD		mentee157@email.com	
P071	name158	B12	D04	B07	B17	B04	PhD		mentee158@email.com	
P072	name159	B31	B08	B23	D04	B20	PhD		mentee159@email.com	
P073	name160	A09	A14	A15	A01	A11	PhD		mentee160@email.com	
P074	name161	D07	D11	D12	D13	D05	PhD		mentee161@email.com	
P075	name162	A11	A07	A10	A29	A14	PhD		mentee162@email.com	
P076	name163	E01	E27	E19	E25	E26	PhD		mentee163@email.com	
P077	name164	A01	A06	A12	A07	A11	PhD		mentee164@email.com	
P078	name165	E01	E22	E25	E12	E19	PhD		mentee165@email.com	
P079	name166	D16	D21	D13	D17	D22	PhD		mentee166@email.com	
P080	name167	A15	A59	A58	E22	A57	PhD		mentee167@email.com	
P081	name168	E25	E01	B46	E26	E22	PhD		mentee168@email.com	
P082	name169	A09	B07	D16	B53	A15	PhD		mentee169@email.com	
P083	name170	B53	D04	B03	B30	B23	PhD		mentee170@email.com	
P084	name171	E12		A13		A47	PhD		mentee171@email.com	
P085	name172	A02	E01	A18	A52	E16	PhD		mentee172@email.com	
P086	name173	B07	B46	E05	B04	B12	PhD		mentee173@email.com	
P087	name174	E20	E18	E17	E25	E23	PhD		mentee174@email.com	
P088	name175	E09	C19	C27	E07	E05	PhD		mentee175@email.com	
P089	name176	A02	A34	A03	A32	A64	PhD		mentee176@email.com	
P090	name177	B15	B40	B38	B23	B39	PhD		mentee177@email.com	
P091	name178	A52	A51	A53	A03	A04	PhD		mentee178@email.com	
P092	name179	D04	B23	B08	B04	B11	PhD		mentee179@email.com	
P093	name180	E01	E20	E25	E26	E22	PhD		mentee180@email.com	
P094	name181	A01	A56	A40	A46	A64	PhD		mentee181@email.com	
P095	name182	E09	B32	B07	A40	C09	PhD		mentee182@email.com	
P096	name183	C20	C13	C21	C19	C17	PhD		mentee183@email.com	
P097	name184	B40	D12	B03	D11	B42	PhD		mentee184@email.com	
P098	name185	D02	D08	D13	B59	B36	PhD		mentee185@email.com	
P099	name186	B45	B44	B05	B20	B23	PhD		mentee186@email.com	
P100	name187	E14	E15	D17			PhD		mentee187@email.com	
P101	name188	E17	E30	E18	E27	E23	PhD		mentee188@email.com	
P102	name189	C22	C25	C20	C27	C21	PhD		mentee189@email.com	
P103	name190	E33	E32	E34	E16	E02	PhD		mentee190@email.com	
P104	name191	E22	E19	E01	E25	E30	PhD		mentee191@email.com	
P105	name192	E02	E04	E09	C14	C09	PhD		mentee192@email.com	
P106	name193	E23	D13	E20	D02	C29	PhD		mentee193@email.com	
P107	name194	B46	B53	B12	A57	D16	PhD		mentee194@email.com	
P108	name195	D11	D07	D17	D15	D20	PhD		mentee195@email.com	
P109	name196	A34	A35	A36	A39	A18	PhD		mentee196@email.com	
P110	name197	D03	D05	D21	D04	D06	PhD		mentee197@email.com	
P111	name198	B40	D16	B12	B07	B48	PhD		mentee198@email.com	
P112	name199	C27	C26	C23	C19	C25	PhD		mentee199@email.com	
P113	name200	A20	A47	A43	A67	E12	PhD		mentee200@email.com	
P114	name201	E08	E05	E16	E10	E15	PhD		mentee201@email.com	
P115	name202	E30	E09	E28	E29	E05	PhD		mentee202@email.com	
P116	name203	B56	B46	B53	E05	B59	PhD		mentee203@email.com	
P117	name204	C21	B12	E05	B36	B07	PhD		mentee204@email.com	
P118	name205	C30	D15	B14	E13	E21	PhD		mentee205@email.com	
P119	name206	C11	C08	C10	C09	C12	PhD		mentee206@email.com	
P120	name207	B39	B38	B15	B18	B37	PhD		mentee207@email.com	
P121	name208	B27	B44	B40	B42	B14	PhD		mentee208@email.com	
P122	name209	D07	D11	D12			PhD		mentee209@email.com	
P123	name210	B45	B05	B44	B50	B10	PhD		mentee210@email.com	
P124	name211	E14	E20	C18	E02	E03	PhD		mentee211@email.com	
P125	name212	E01	E23	E30	E17	E22	PhD		mentee212@email.com	
P126	name213	A01	A16	A07	A14	A06	PhD		mentee213@email.com	
P127	name214	E12	E30	E13	E09	E01	PhD		mentee214@email.com	
P128	name215	A12	A06	A10	A14	A11	PhD		mentee215@email.com	
P129	name216	B40	B15	B24	C10	B42	PhD		mentee216@email.com	
P130	name217	D16	B41	B59	B43	B42	PhD		mentee217@email.com	
P131	name218	E02	E03	E09	E07	E32	PhD		mentee218@email.com	
P132	name219	E09	E30	E20	E12	E19	PhD		mentee219@email.com	
P133	name220	A02	A62	A61	A40	A18	PhD		mentee220@email.com	
P134	name221	B39	B21	B35	D04	B40	PhD		mentee221@email.com	
P135	name222	D13	A42	D02	D01	D09	PhD		mentee222@email.com	
P136	name223	B07	B54	B04	B12	B36	PhD		mentee223@email.com	
P137	name224	B32	B39	B03	B53	B04	PhD		mentee224@email.com	
P138	name225	B30	B46	B12	B59	E13	PhD		mentee225@email.com	
P139	name226	C28	C20	C13	C25	C30	PhD		mentee226@email.com	
P140	name227	A66	E11	E19	D13	D16	PhD		mentee227@email.com	
P141	name228	D09	D01	D03	D22	D02	PhD		mentee228@email.com	
P142	name229	B56	B19	B06	B03	B04	PhD		mentee229@email.com	
P143	name230	B39	B06	B14	B21	B27	PhD		mentee230@email.com	
P144	name231	C07	C12	C02	C11	C03	PhD		mentee231@email.com	
P145	name232	D08	D04	B37	B08	B23	PhD		mentee232@email.com	
P146	name233	B28	C11	B12	B38	B09	PhD		mentee233@email.com	
