mentor_id,email,name,review_info,capacity_PhD,capacity_MSc,assigned_PhD,assigned_MSc,MSc: no_1,MSc: no_2,MSc: no_3,MSc: no_4,MSc: no_5,PhD: no_1,PhD: no_2,PhD: no_3,PhD: no_4,PhD: no_5,combined_mentor_id,verification_code
B04,mentor67@email.com,name67,True,2,0,11,0,,,,,,['P006'],"['P002', 'P004']","['P025', 'P040', 'P136']","['P086', 'P092']","['P071', 'P137', 'P142']",,
B05,mentor68@email.com,name68,True,2,0,3,0,,,,,,,['P123'],"['P018', 'P099']",,,,
B06,mentor69@email.com,name69,False,2,2,4,2,,,['M013'],['M039'],,,['P143'],['P142'],,"['P014', 'P025']",,
B07,mentor70@email.com,name70,True,2,0,14,0,,,,,,"['P040', 'P086', 'P136']","['P011', 'P082']","['P002', 'P064', 'P071', 'P095']","['P023', 'P054', 'P111']","['P034', 'P117']",,
B08,mentor71@email.com,name71,False,1,1,4,1,,,,,['M035'],,['P072'],['P092'],['P145'],['P040'],,
B09,mentor72@email.com,name72,True,3,0,2,0,,,,,,,,,['P024'],['P146'],,
B10,mentor73@email.com,name73,True,1,0,2,0,,,,,,,['P034'],,,['P123'],,
B11,mentor74@email.com,name74,True,2,0,5,0,,,,,,,['P023'],"['P006', 'P046']",['P021'],['P092'],,
B12,mentor75@email.com,name75,False,1,1,17,1,['M002'],,,,,"['P002', 'P004', 'P022', 'P071']","['P054', 'P117']","['P044', 'P107', 'P111', 'P138', 'P146']","['P040', 'P041', 'P136']","['P023', 'P068', 'P086']",,
B13,mentor76@email.com,name76,False,1,1,1,1,,,,['M077'],,,,,,['P029'],,
B14,mentor77@email.com,name77,True,2,2,5,2,,['M039'],,['M075'],,,,"['P014', 'P023', 'P118', 'P143']",,['P121'],,
B15,mentor78@email.com,name78,False,3,0,4,1,['M088'],,,,,['P090'],['P129'],"['P063', 'P120']",,,,
B16,mentor79@email.com,name79,True,2,0,6,1,,,['M021'],,,,"['P006', 'P022', 'P040']","['P021', 'P042']",['P002'],,,
B17,mentor80@email.com,name80,False,2,0,3,0,,,,,,,,,"['P022', 'P071']",['P001'],,
B18,mentor81@email.com,name81,True,2,1,2,1,,,,['M013'],,['P015'],,,['P120'],,,
B19,mentor82@email.com,name82,True,1,0,3,0,,,,,,"['P029', 'P048']",['P142'],,,,,
B20,mentor83@email.com,name83,False,2,0,5,0,,,,,,['P023'],['P048'],,['P099'],"['P021', 'P072']",,
B21,mentor84@email.com,name84,True,2,0,4,0,,,,,,,['P134'],,"['P014', 'P143']",['P024'],,
B23,mentor85@email.com,name85,True,1,1,8,1,,,,,['M013'],,"['P063', 'P092']",['P072'],['P090'],"['P018', 'P083', 'P099', 'P145']",,
B24,mentor86@email.com,name86,True,1,1,2,1,,['M008'],,,,,['P024'],['P129'],,,,
B25,mentor87@email.com,name87,False,2,2,0,0,,,,,,,,,,,,
B26,mentor88@email.com,name88,True,2,1,1,0,,,,,,,,['P048'],,,,
B27,mentor89@email.com,name89,True,2,0,3,0,,,,,,['P121'],,['P034'],,['P143'],,
B28,mentor90@email.com,name90,True,2,0,1,0,,,,,,['P146'],,,,,,
B29,mentor91@email.com,name91,True,1,0,1,0,,,,,,,,,['P032'],,,
B30,mentor92@email.com,name92,True,1,0,8,0,,,,,,"['P032', 'P138']",['P046'],,"['P061', 'P068', 'P083']","['P006', 'P044']",,
B31,mentor93@email.com,name93,False,3,0,5,0,,,,,,['P072'],,['P019'],['P063'],"['P035', 'P062']",,
B32,mentor94@email.com,name94,False,2,2,6,2,"['M021', 'M035']",,,,,['P137'],"['P029', 'P095']",,['P006'],"['P039', 'P046']",,
B34,mentor95@email.com,name95,True,2,2,0,2,,,['M077'],,['M039'],,,,,,,
B35,mentor96@email.com,name96,True,1,1,2,0,,,,,,,,['P134'],['P046'],,,
B36,mentor97@email.com,name97,False,2,0,4,0,,,,,,,,,"['P010', 'P117']","['P098', 'P136']",,
B37,mentor98@email.com,name98,False,2,0,3,0,,,,,,,,['P145'],,"['P026', 'P120']",,
B38,mentor99@email.com,name99,True,2,0,7,0,,,,,,['P063'],['P120'],['P090'],"['P004', 'P019', 'P026', 'P146']",,,
B39,mentor100@email.com,name100,True,3,2,9,5,"['M013', 'M039']","['M010', 'M088']",['M035'],,,"['P001', 'P014', 'P070', 'P120', 'P134', 'P143']",['P137'],['P026'],,['P090'],,
B40,mentor101@email.com,name101,True,2,0,21,0,,,,,,"['P021', 'P035', 'P041', 'P044', 'P054', 'P061', 'P068', 'P097', 'P111', 'P129']","['P010', 'P019', 'P032', 'P042', 'P052', 'P090']",['P121'],['P070'],"['P004', 'P063', 'P134']",,
B41,mentor102@email.com,name102,True,2,0,3,1,,,,['M034'],,,['P130'],['P035'],,['P070'],,
B42,mentor103@email.com,name103,True,1,0,11,2,,,['M034'],,['M010'],['P042'],['P061'],"['P010', 'P052', 'P070']","['P035', 'P121']","['P032', 'P097', 'P129', 'P130']",,
B43,mentor104@email.com,name104,True,2,0,7,0,,,,,,,['P070'],"['P032', 'P061']","['P044', 'P130']","['P010', 'P022']",,
B44,mentor105@email.com,name105,True,2,0,6,1,,,,,['M021'],['P034'],"['P021', 'P099', 'P121']",['P123'],,['P019'],,
B45,mentor106@email.com,name106,True,2,0,5,1,,,['M088'],,,"['P099', 'P123']",,"['P029', 'P039', 'P041']",,,,
B46,mentor107@email.com,name107,True,3,0,10,1,['M080'],,,,,['P107'],"['P001', 'P086', 'P116', 'P138']","['P011', 'P054', 'P081']",['P064'],['P042'],,
B47,mentor108@email.com,name108,True,1,0,1,0,,,,,,,,['P001'],,,,
B48,mentor109@email.com,name109,True,2,2,2,3,,['M021'],['M070'],,['M080'],,,,,"['P052', 'P111']",,
B49,mentor110@email.com,name110,True,0,2,0,2,,,,"['M035', 'M080']",,,,,,,,
B50,mentor111@email.com,name111,True,2,0,2,0,,,,,,,,,"['P034', 'P123']",,,
B51,mentor112@email.com,name112,True,2,2,2,0,,,,,,,,,"['P029', 'P048']",,,
B52,mentor113@email.com,name113,True,1,1,1,0,,,,,,,,,,['P048'],,
B53,mentor114@email.com,name114,True,2,2,7,1,['M041'],,,,,['P083'],['P107'],['P116'],"['P011', 'P082', 'P137']",['P002'],,
B54,mentor115@email.com,name115,False,3,0,6,0,,,,,,,['P136'],['P022'],['P001'],"['P011', 'P057', 'P064']",,
B55,mentor116@email.com,name116,False,2,1,3,2,,,['M058'],['M088'],,['P019'],['P035'],['P004'],,,,
B56,mentor117@email.com,name117,True,2,0,2,0,,,,,,"['P116', 'P142']",,,,,,
B57,mentor118@email.com,name118,True,2,2,0,1,,,,,['M034'],,,,,,,
B58,mentor119@email.com,name119,True,1,1,0,1,,,,['M085'],,,,,,,,
B59,mentor120@email.com,name120,True,1,1,9,1,,,['M080'],,,['P010'],"['P044', 'P068']",['P130'],"['P042', 'P052', 'P098', 'P138']",['P116'],,
C01,mentor121@email.com,name121,True,1,0,0,1,,,,,['M077'],,,,,,,
C02,mentor122@email.com,name122,True,1,1,5,1,,,,,['M063'],"['P049', 'P056']",,['P144'],['P062'],['P012'],,
C03,mentor123@email.com,name123,False,1,1,3,2,,,,['M063'],['M075'],,,"['P012', 'P062']",,['P144'],,
C04,mentor124@email.com,name124,False,2,2,1,0,,,,,,,['P012'],,,,,
C05,mentor125@email.com,name125,True,3,0,1,0,,,,,,['P012'],,,,,,
C06,mentor126@email.com,name126,False,2,0,1,0,,,,,,,,,['P056'],,,
C07,mentor127@email.com,name127,True,2,0,4,1,['M063'],,,,,"['P036', 'P144']",['P056'],,,['P049'],,
C08,mentor128@email.com,name128,True,2,1,3,0,,,,,,,['P119'],,['P036'],['P053'],,
C09,mentor129@email.com,name129,True,2,0,5,0,,,,,,,,['P036'],"['P053', 'P119']","['P095', 'P105']",,
C10,mentor130@email.com,name130,False,2,0,3,0,,,,,,,,['P119'],"['P012', 'P129']",,,
C11,mentor131@email.com,name131,False,2,0,4,2,,"['M034', 'M063']",,,,['P119'],"['P036', 'P146']",,['P144'],,,
C12,mentor132@email.com,name132,True,2,0,4,1,,,['M063'],,,,['P144'],['P056'],,"['P036', 'P119']",,
C13,mentor133@email.com,name133,True,2,0,3,1,,,,['M025'],,,['P096'],"['P059', 'P139']",,,,
C14,mentor134@email.com,name134,False,1,1,2,1,['M077'],,,,,['P030'],,,['P105'],,,
C15,mentor135@email.com,name135,True,1,0,1,0,,,,,,,,,['P055'],,,
C16,mentor136@email.com,name136,True,1,0,2,0,,,,,,,,['P015'],,['P055'],,
C17,mentor137@email.com,name137,True,3,3,2,1,,,,,['M081'],,,['P055'],,['P096'],,
C18,mentor138@email.com,name138,False,1,1,1,0,,,,,,,,['P124'],,,,
C19,mentor139@email.com,name139,True,2,0,3,0,,,,,,,['P088'],,"['P096', 'P112']",,,
C20,mentor140@email.com,name140,True,1,0,3,1,['M075'],,,,,['P096'],['P139'],['P102'],,,,
C21,mentor141@email.com,name141,False,1,0,3,0,,,,,,['P117'],,['P096'],,['P102'],,
C22,mentor142@email.com,name142,False,5,0,2,0,,,,,,"['P059', 'P102']",,,,,,
C23,mentor143@email.com,name143,False,2,2,1,0,,,,,,,,['P112'],,,,
C25,mentor144@email.com,name144,False,2,0,4,0,,,,,,,['P102'],,"['P059', 'P139']",['P112'],,
C26,mentor145@email.com,name145,False,1,1,3,0,,,,,,,"['P059', 'P112']",['P003'],,,,
C27,mentor146@email.com,name146,False,1,0,4,0,,,,,,['P112'],,['P088'],['P102'],['P059'],,
C28,mentor147@email.com,name147,False,3,1,1,2,['M081'],,['M075'],,,['P139'],,,,,,
C29,mentor148@email.com,name148,False,2,0,1,0,,,,,,,,,,['P106'],,
C30,mentor149@email.com,name149,False,1,1,2,1,,['M081'],,,,['P118'],,,,['P139'],,
D01,mentor150@email.com,name150,True,2,2,5,3,,,,['M046'],"['M026', 'M058']","['P038', 'P057']","['P030', 'P141']",,['P135'],,,
D02,mentor151@email.com,name151,True,2,1,5,2,,['M026'],,,['M046'],['P098'],,"['P030', 'P135']",['P106'],['P141'],,
D03,mentor152@email.com,name152,True,1,0,4,1,['M086'],,,,,['P110'],,"['P038', 'P141']",['P057'],,,
D04,mentor153@email.com,name153,False,1,0,11,1,,,,,['M088'],"['P018', 'P092']","['P026', 'P039', 'P041', 'P071', 'P083', 'P145']",,"['P072', 'P110', 'P134']",,,
D05,mentor154@email.com,name154,True,1,0,3,1,,,,['M086'],,,['P110'],,['P018'],['P074'],,
D06,mentor155@email.com,name155,True,3,0,5,1,,,,,['M086'],"['P026', 'P039']",['P018'],,,"['P041', 'P110']",,
D07,mentor156@email.com,name156,True,2,2,3,0,,,,,,"['P074', 'P122']",['P108'],,,,,
D08,mentor157@email.com,name157,False,3,3,2,1,,['M046'],,,,['P145'],['P098'],,,,,
D09,mentor158@email.com,name158,True,1,1,4,4,['M026'],,"['M041', 'M046', 'M086']",,,['P141'],,['P057'],['P038'],['P135'],,
D10,mentor159@email.com,name159,False,2,2,1,1,,,['M008'],,,,,['P024'],,,,
D11,mentor160@email.com,name160,False,1,0,6,0,,,,,,"['P064', 'P108']","['P074', 'P122']",,['P097'],['P020'],,
D12,mentor161@email.com,name161,True,1,1,4,1,,['M086'],,,,['P020'],['P097'],"['P074', 'P122']",,,,
D13,mentor162@email.com,name162,False,1,1,8,3,['M046'],['M041'],,['M026'],,['P135'],"['P038', 'P057', 'P106']","['P079', 'P098']","['P074', 'P140']",,,
D14,mentor163@email.com,name163,False,1,1,1,0,,,,,,,,,['P015'],,,
D15,mentor164@email.com,name164,True,1,0,2,0,,,,,,,['P118'],,['P108'],,,
D16,mentor165@email.com,name165,True,1,1,8,1,,['M080'],,,,"['P079', 'P130']","['P064', 'P111']",['P082'],,"['P054', 'P107', 'P140']",,
D17,mentor166@email.com,name166,False,2,2,4,0,,,,,,,,"['P068', 'P100', 'P108']",['P079'],,,
D18,mentor167@email.com,name167,True,3,2,2,1,['M008'],,,,,['P024'],,,,['P015'],,
D20,mentor168@email.com,name168,True,1,0,2,0,,,,,,,['P014'],,,['P108'],,
D21,mentor169@email.com,name169,True,1,0,2,0,,,,,,,['P079'],['P110'],,,,
D22,mentor170@email.com,name170,True,0,1,3,2,,,['M026'],['M041'],,,,,['P141'],"['P038', 'P079']",,
E01,mentor171@email.com,name171,True,5,5,11,22,"['M014', 'M030', 'M031', 'M051', 'M060', 'M065', 'M071']","['M002', 'M005', 'M027', 'M036', 'M066', 'M083']","['M004', 'M011', 'M019', 'M025', 'M074']","['M070', 'M073']","['M007', 'M032', 'M044']","['P076', 'P078', 'P093', 'P125']","['P007', 'P013', 'P081', 'P085']","['P037', 'P104']",,['P127'],,
E02,mentor172@email.com,name172,False,1,0,8,0,,,,,,"['P062', 'P105', 'P131']","['P049', 'P050']",['P027'],['P124'],['P103'],,
E03,mentor173@email.com,name173,False,2,0,2,0,,,,,,,['P131'],,,['P124'],,
E04,mentor174@email.com,name174,True,1,0,3,0,,,,,,,['P105'],,['P037'],['P007'],,
E05,mentor175@email.com,name175,True,1,1,6,3,,,['M033'],"['M043', 'M081']",,,['P114'],"['P086', 'P117']",['P116'],"['P088', 'P115']",,
E06,mentor176@email.com,name176,False,2,2,2,2,,,,['M083'],['M070'],['P045'],['P062'],,,,,
E07,mentor177@email.com,name177,True,1,0,6,0,,,,,,"['P027', 'P050', 'P053']",,['P049'],"['P088', 'P131']",,,
E08,mentor178@email.com,name178,True,3,3,4,2,,,"['M039', 'M057']",,,['P114'],,"['P031', 'P050', 'P053']",,,,
E09,mentor179@email.com,name179,True,1,0,9,0,,,,,,"['P088', 'P095', 'P132']","['P027', 'P053', 'P115']","['P105', 'P131']",['P127'],,,
E10,mentor180@email.com,name180,True,2,2,1,1,,,,,['M043'],,,,['P114'],,,
E11,mentor181@email.com,name181,False,1,0,3,1,,['M016'],,,,['P031'],['P140'],['P066'],,,,
E12,mentor182@email.com,name182,True,3,3,8,19,"['M018', 'M036', 'M066']","['M031', 'M044', 'M051', 'M073', 'M087']","['M014', 'M083', 'M084']","['M004', 'M011', 'M032', 'M065', 'M068', 'M074']","['M002', 'M060']","['P007', 'P066', 'P084', 'P127']",,['P016'],"['P078', 'P132']",['P113'],,
E13,mentor183@email.com,name183,True,3,2,3,10,,['M071'],"['M051', 'M081', 'M087']","['M012', 'M044', 'M084']","['M018', 'M036', 'M068']",,,['P127'],['P118'],['P138'],,
E14,mentor184@email.com,name184,False,2,1,3,0,,,,,,"['P100', 'P124']",,,['P050'],,,
E15,mentor185@email.com,name185,False,0,2,3,0,,,,,,,['P100'],,,"['P050', 'P114']",,
E16,mentor186@email.com,name186,False,3,3,5,4,,['M075'],['M050'],"['M047', 'M057']",,,,['P114'],"['P031', 'P045', 'P103']",['P085'],,
E17,mentor187@email.com,name187,False,3,0,4,2,,,,['M005'],['M030'],['P101'],,['P087'],['P125'],['P066'],,
E18,mentor188@email.com,name188,True,2,2,6,21,"['M011', 'M019', 'M064', 'M078']","['M004', 'M032']","['M031', 'M044', 'M062', 'M065', 'M068']","['M006', 'M007', 'M027', 'M036', 'M051', 'M060', 'M066', 'M071', 'M087']","['M073', 'M084']",,"['P009', 'P066', 'P087']","['P013', 'P045', 'P101']",,,,
E19,mentor189@email.com,name189,False,1,0,6,4,,['M064'],"['M030', 'M071']",['M078'],,,['P104'],"['P076', 'P140']",,"['P013', 'P078', 'P132']",,
E20,mentor190@email.com,name190,False,10,10,7,20,"['M004', 'M016', 'M032', 'M044', 'M068', 'M083']","['M019', 'M062']","['M036', 'M049', 'M073']","['M002', 'M014']","['M027', 'M031', 'M050', 'M065', 'M066', 'M078', 'M087']",['P087'],"['P031', 'P093', 'P124']","['P106', 'P132']",['P030'],,,
E21,mentor191@email.com,name191,True,0,2,2,11,"['M012', 'M062', 'M087']","['M057', 'M084']","['M064', 'M078']",,"['M003', 'M011', 'M019', 'M083']",,['P045'],,,['P118'],,
E22,mentor192@email.com,name192,True,2,0,9,5,,"['M006', 'M078']",['M005'],"['M030', 'M064']",,"['P009', 'P013', 'P104']",['P078'],,"['P066', 'P080']","['P081', 'P093', 'P125']",,
E23,mentor193@email.com,name193,True,2,0,4,0,,,,,,['P106'],['P125'],,,"['P087', 'P101']",,
E25,mentor194@email.com,name194,False,3,1,9,22,"['M007', 'M073', 'M074']","['M011', 'M014', 'M030', 'M060', 'M065', 'M068']","['M002', 'M006', 'M012', 'M032', 'M066']","['M019', 'M031', 'M062']","['M004', 'M005', 'M033', 'M051', 'M064', 'M071']",['P081'],,"['P078', 'P093']","['P007', 'P013', 'P076', 'P087', 'P104']",['P061'],,
E26,mentor195@email.com,name195,True,3,0,4,1,,['M070'],,,,,,,"['P081', 'P093']","['P037', 'P076']",,
E27,mentor196@email.com,name196,True,3,3,3,10,"['M050', 'M084']","['M007', 'M012']","['M043', 'M060']","['M010', 'M033']","['M020', 'M057', 'M062']",,['P076'],,['P101'],['P028'],,
E28,mentor197@email.com,name197,True,3,3,3,2,['M043'],['M033'],,,,,,"['P028', 'P115']",['P027'],,,
E29,mentor198@email.com,name198,True,3,3,2,9,"['M020', 'M025', 'M027', 'M033', 'M057']","['M043', 'M074']","['M007', 'M010']",['M050'],,,['P028'],,['P115'],,,
E30,mentor199@email.com,name199,True,3,0,7,3,"['M005', 'M006']",['M025'],,,,['P115'],"['P101', 'P127', 'P132']",['P125'],['P028'],['P104'],,
E31,mentor200@email.com,name200,True,1,0,1,0,,,,,,,,,,['P031'],,
E32,mentor201@email.com,name201,True,2,0,4,2,,,,['M020'],['M047'],['P055'],"['P037', 'P103']",,,['P131'],,
E33,mentor202@email.com,name202,True,3,2,3,7,['M010'],"['M020', 'M047', 'M050']",,,"['M012', 'M014', 'M074']",['P103'],['P055'],,['P049'],,,
E34,mentor203@email.com,name203,True,2,0,1,2,,,"['M020', 'M047']",,,,,['P103'],,,,
E35,mentor204@email.com,name204,True,1,0,4,3,['M047'],,,,"['M006', 'M025']","['P028', 'P037']",,,,"['P027', 'P045']",,
