mentor_id,name,email,review_info,capacity_PhD,capacity_MSc,assigned_PhD,assigned_MSc,MSc: no_1,MSc: no_2,MSc: no_3,MSc: no_4,MSc: no_5,PhD: no_1,PhD: no_2,PhD: no_3,PhD: no_4,PhD: no_5,combined_mentor_id,verification_code,mentee_response,response_MSc,response_PhD,response_reasons,mentee_MSc,mentee_PhD,no_match_MSc,no_match_PhD,raw_capacity_PhD,raw_capacity_MSc
A29,name26,mentor26@email.com,True,1,0,3,0,,,,,,,,['P065'],['P075'],['P017'],,,True,[],['P065'],,,,0,0,2,2
A30,name27,mentor27@email.com,True,2,1,3,1,['M058'],,,,,['P065'],['P020'],,['P017'],,,,True,['M058'],"['P065', 'P017']",,M058 ,P065 ,1,1,3,5
A31,name28,mentor28@email.com,True,1,2,1,2,,,['M038'],['M052'],,,,,['P067'],,,,True,"['M038', 'M052']",['P067'],,,,0,0,2,3
A32,name29,mentor29@email.com,True,2,0,2,0,,,,,,,,['P067'],['P089'],,,,True,[],"['P067', 'P089']",,,P067 ,0,1,2,1
A33,name30,mentor30@email.com,False,4,5,3,2,,,,['M037'],['M024'],['P069'],,,"['P005', 'P043']",,,,False,,,,,P069 ,0,1,4,5
A34,name31,mentor31@email.com,True,2,0,6,1,,['M037'],,,,"['P067', 'P109']",['P089'],,['P069'],"['P005', 'P043']",,,True,[],"['P005', 'P109']",,,,0,0,1,2
A35,name32,mentor32@email.com,True,3,0,3,1,,,['M067'],,,,"['P069', 'P109']",['P043'],,,,,True,[],"['P101', 'P109', 'P043']",,,,0,0,2,0
A36,name33,mentor33@email.com,True,4,3,4,3,"['M037', 'M067']",['M048'],,,,,"['P043', 'P047']",['P109'],,['P069'],,,True,"['M037', 'M067', 'M048']","['P043', 'P047', 'P109', 'P101']",,M037 ,,1,0,3,0
A37,name34,mentor34@email.com,True,2,0,2,1,,,['M037'],,,['P043'],,['P069'],,,,,True,[],"['P043', 'P101']",,,P043 ,0,1,2,0
A38,name35,mentor35@email.com,True,0,2,0,3,['M069'],,,"['M022', 'M028']",,,,,,,,,True,"['M022', 'M028']",[],,,,0,0,2,2
A39,name36,mentor36@email.com,False,1,2,2,2,,['M023'],,['M003'],,,,,['P109'],['P008'],,,False,,,,M023 M003 ,P109 ,2,1,1,2
A40,name37,mentor37@email.com,True,5,1,5,1,,,,['M082'],,,,"['P005', 'P047', 'P094']","['P095', 'P133']",,,,True,['M082'],"['P133', 'P005', 'P047', 'P095', 'P094']",,,P094 ,0,1,1,1
A41,name38,mentor38@email.com,True,0,0,1,1,,['M049'],,,,,['P015'],,,,,,True,[],[],,,,0,0,3,3
A42,name39,mentor39@email.com,True,1,1,2,4,,['M058'],['M053'],['M045'],['M023'],,['P135'],['P020'],,,,,True,"['P135', 'M058']",['P135'],,,,0,0,2,2
A43,name40,mentor40@email.com,False,0,1,1,13,"['M015', 'M028', 'M042', 'M045', 'M053', 'M059', 'M076']","['M001', 'M009', 'M024', 'M072']","['M027', 'M054']",,,,,['P113'],,,,,False,,,,M015 ,,1,0,0,1
A44,name41,mentor41@email.com,False,2,0,1,3,,['M069'],['M085'],['M061'],,,,,,['P047'],,,False,,,,,,0,0,2,0
A45,name42,mentor42@email.com,True,1,1,2,2,['M022'],['M085'],,,,,['P017'],,['P047'],,,,True,['M022'],['P047'],,M022 ,,1,0,0,2
A46,name43,mentor43@email.com,True,0,0,1,3,['M040'],['M003'],,,['M042'],,,,['P094'],,,,True,[],[],,,,0,0,0,1
A47,name44,mentor44@email.com,True,1,2,4,3,,['M018'],['M028'],['M076'],,,"['P016', 'P113']",['P007'],,['P084'],,,True,"['M028', 'M018']",['P016'],,M028 ,,1,0,1,1
A48,name45,mentor45@email.com,True,0,2,0,3,,,"['M024', 'M042']",,['M028'],,,,,,,,True,"['M024', 'M028']",[],,M024 ,,1,0,1,1
A49,name46,mentor46@email.com,False,1,2,0,3,,,['M001'],['M018'],['M054'],,,,,,,,False,,,,M001 ,,1,0,1,2
A50,name47,mentor47@email.com,True,0,1,0,1,,,,['M054'],,,,,,,,,True,['M054'],[],,M054 ,,1,0,2,1
A51,name48,mentor48@email.com,True,1,0,1,1,,,,,['M022'],,['P091'],,,,,,True,[],['P091'],,,,0,0,1,1
A52,name49,mentor49@email.com,True,1,4,2,4,,,"['M009', 'M072']",['M059'],['M045'],['P091'],,,['P085'],,,,True,"['M009', 'M045', 'M059', 'M072']",['P091'],,M045 ,P091 ,1,1,5,5
A53,name50,mentor50@email.com,True,2,2,1,2,,,,,"['M009', 'M059']",,,['P091'],,,,,False,,,,,,0,0,2,2
A54,name51,mentor51@email.com,False,1,1,0,3,,,['M048'],['M042'],['M061'],,,,,,,,False,,,,M048 ,,1,0,1,1
A55,name52,mentor52@email.com,True,2,1,2,1,['M082'],,,,,"['P051', 'P060']",,,,,,,True,['M082'],"['P060', 'P051']",,M082 ,P060 ,1,1,2,1
A56,name53,mentor53@email.com,True,2,2,3,2,,['M067'],['M018'],,,['P016'],"['P008', 'P094']",,,,,,True,"['M067', 'M018']","['P016', 'P094']",,M067 ,P016 ,1,1,2,1
A57,name54,mentor54@email.com,True,3,0,3,1,,['M061'],,,,,,,"['P009', 'P107']",['P080'],,,True,[],"['P009', 'P080', 'P107']",,,,0,0,1,0
A58,name55,mentor55@email.com,False,2,1,2,1,,,['M023'],,,,,['P080'],['P008'],,,,False,,,,,P008 ,0,1,2,1
A59,name56,mentor56@email.com,False,1,1,1,2,['M085'],,['M022'],,,,['P080'],,,,,,False,,,,M085 ,,1,0,1,1
A60,name57,mentor57@email.com,True,0,1,0,3,"['M003', 'M055']",,['M082'],,,,,,,,,,True,['M055'],[],,M055 ,,1,0,0,1
A61,name58,mentor58@email.com,True,2,1,2,1,,,['M040'],,,,,['P133'],['P060'],,,,True,['M040'],"['P060', 'P133']",,M040 ,,1,0,2,2
A62,name59,mentor59@email.com,False,3,1,2,0,,,,,,,['P133'],,,['P067'],,,False,,,,,P133 ,0,1,3,1
A64,name60,mentor60@email.com,False,3,3,5,4,,"['M055', 'M082']",,"['M040', 'M049']",,,,['P051'],,"['P030', 'P060', 'P089', 'P094']",,,False,,,,,,0,0,3,3
A65,name61,mentor61@email.com,True,2,2,0,2,,['M038'],,,['M040'],,,,,,,,False,,,,,,0,0,2,2
A66,name62,mentor62@email.com,True,1,2,1,8,,"['M045', 'M054', 'M059']",,"['M009', 'M023', 'M053']","['M015', 'M072']",['P140'],,,,,,,True,"['M015', 'M059']",['P140'],,M059 ,P140 ,1,1,1,1
A67,name63,mentor63@email.com,True,0,6,1,13,"['M009', 'M024', 'M054', 'M072']","['M015', 'M028', 'M042', 'M053', 'M076']","['M045', 'M059']",,"['M001', 'M052']",,,,['P113'],,,,True,"['M009', 'M024', 'M054', 'M028', 'M042', 'M076']",[],,M009 M042 ,,2,0,2,2
B01,name64,mentor64@email.com,False,0,2,2,5,"['M034', 'M070']","['M013', 'M035']",,['M021'],,['P052'],,,['P025'],,,,False,,,,M034 ,,1,0,0,2
B02,name65,mentor65@email.com,True,0,0,1,0,,,,,,,['P025'],,,,,,True,[],[],,,,0,0,2,0
B03,name66,mentor66@email.com,True,3,0,7,0,,,,,,"['P025', 'P046']",,"['P083', 'P097', 'P137']","['P039', 'P142']",,,,True,[],"['P046', 'P039', 'P083']",,,P046 ,0,1,2,0
B04,name67,mentor67@email.com,True,7,0,11,0,,,,,,['P006'],"['P002', 'P004']","['P025', 'P040', 'P136']","['P086', 'P092']","['P071', 'P137', 'P142']",,,True,[],"['P136', 'P006', 'P040', 'P137', 'P142', 'P086', 'P071']",,,P006 ,0,1,2,0
B05,name68,mentor68@email.com,True,3,0,3,0,,,,,,,['P123'],"['P018', 'P099']",,,,,True,[],"['P099', 'P123', 'P018']",,,P099 ,0,1,2,0
B06,name69,mentor69@email.com,False,2,2,4,2,,,['M013'],['M039'],,,['P143'],['P142'],,"['P014', 'P025']",,,False,,,,M013 ,P143 P025 ,1,2,2,2
B07,name70,mentor70@email.com,True,7,0,14,0,,,,,,"['P040', 'P086', 'P136']","['P011', 'P082']","['P002', 'P064', 'P071', 'P095']","['P023', 'P054', 'P111']","['P034', 'P117']",,,True,[],"['P040', 'P086', 'P136', 'P082', 'P002', 'P011', 'P071']",,,P040 P086 ,0,2,2,0
B08,name71,mentor71@email.com,False,1,1,4,1,,,,,['M035'],,['P072'],['P092'],['P145'],['P040'],,,False,,,,M035 ,,1,0,1,1
B09,name72,mentor72@email.com,True,2,0,2,0,,,,,,,,,['P024'],['P146'],,,True,[],"['P024', 'P146']",,,,0,0,3,0
B10,name73,mentor73@email.com,True,2,0,2,0,,,,,,,['P034'],,,['P123'],,,True,[],"['P034', 'P123']",,,P034 ,0,1,1,0
B11,name74,mentor74@email.com,True,2,0,5,0,,,,,,,['P023'],"['P006', 'P046']",['P021'],['P092'],,,False,,,,,,0,0,2,0
B12,name75,mentor75@email.com,False,1,1,17,1,['M002'],,,,,"['P002', 'P004', 'P022', 'P071']","['P054', 'P117']","['P044', 'P107', 'P111', 'P138', 'P146']","['P040', 'P041', 'P136']","['P023', 'P068', 'P086']",,,False,,,,M002 ,P002 ,1,1,1,1
B13,name76,mentor76@email.com,False,1,1,1,1,,,,['M077'],,,,,,['P029'],,,False,,,,,P029 ,0,1,1,1
B14,name77,mentor77@email.com,True,3,2,5,2,,['M039'],,['M075'],,,,"['P014', 'P023', 'P118', 'P143']",,['P121'],,,True,"['M039', 'M075']","['P023', 'P143', 'P118']",,,,0,0,2,2
B15,name78,mentor78@email.com,False,3,0,4,1,['M088'],,,,,['P090'],['P129'],"['P063', 'P120']",,,,,False,,,,,P090 ,0,1,3,0
B16,name79,mentor79@email.com,True,3,0,6,1,,,['M021'],,,,"['P006', 'P022', 'P040']","['P021', 'P042']",['P002'],,,,True,[],"['P021', 'P042', 'P022']",,,P021 ,0,1,2,0
B17,name80,mentor80@email.com,False,2,0,3,0,,,,,,,,,"['P022', 'P071']",['P001'],,,False,,,,,P022 P071 ,0,2,2,0
B18,name81,mentor81@email.com,True,2,1,2,1,,,,['M013'],,['P015'],,,['P120'],,,,True,['M013'],"['P015', 'P120']",,,P015 ,0,1,2,1
B19,name82,mentor82@email.com,True,3,0,3,0,,,,,,"['P029', 'P048']",['P142'],,,,,,True,[],"['P142', 'P029', 'P048']",,,,0,0,1,0
B20,name83,mentor83@email.com,False,2,0,5,0,,,,,,['P023'],['P048'],,['P099'],"['P021', 'P072']",,,False,,,,,P023 ,0,1,2,0
B21,name84,mentor84@email.com,True,2,0,4,0,,,,,,,['P134'],,"['P014', 'P143']",['P024'],,,True,[],"['P134', 'P143']",,,P134 ,0,1,2,0
B23,name85,mentor85@email.com,True,9,0,8,1,,,,,['M013'],,"['P063', 'P092']",['P072'],['P090'],"['P018', 'P083', 'P099', 'P145']",,,True,[],"['P092', 'P063', 'P083', 'P090', 'P018', 'M013', 'P099', 'P145', 'P072']",,,P092 P083 ,0,2,1,1
B24,name86,mentor86@email.com,True,1,1,2,1,,['M008'],,,,,['P024'],['P129'],,,,,True,['M008'],['P024'],,,,0,0,1,1
B25,name87,mentor87@email.com,False,2,2,0,0,,,,,,,,,,,,,False,,,,,,0,0,2,2
B26,name88,mentor88@email.com,True,2,1,1,0,,,,,,,,['P048'],,,,,False,,,,,P048 ,0,1,2,1
B27,name89,mentor89@email.com,True,2,0,3,0,,,,,,['P121'],,['P034'],,['P143'],,,True,['P121'],"['P121', 'P143']",,,P121 ,0,1,2,0
B28,name90,mentor90@email.com,True,1,0,1,0,,,,,,['P146'],,,,,,,True,[],['P146'],,,P146 ,0,1,2,0
B29,name91,mentor91@email.com,True,1,0,1,0,,,,,,,,,['P032'],,,,False,,,,,,0,0,1,0
B30,name92,mentor92@email.com,True,1,0,8,0,,,,,,"['P032', 'P138']",['P046'],,"['P061', 'P068', 'P083']","['P006', 'P044']",,,True,[],['P032'],,,P032 ,0,1,1,0
B31,name93,mentor93@email.com,False,3,0,5,0,,,,,,['P072'],,['P019'],['P063'],"['P035', 'P062']",,,False,,,,,P072 ,0,1,3,0
B32,name94,mentor94@email.com,False,2,2,6,2,"['M021', 'M035']",,,,,['P137'],"['P029', 'P095']",,['P006'],"['P039', 'P046']",,,False,,,,M021 ,P137 ,1,1,2,2
B34,name95,mentor95@email.com,True,0,2,0,2,,,['M077'],,['M039'],,,,,,,,True,"['M077', 'M039']",[],,,,0,0,2,2
B35,name96,mentor96@email.com,True,1,1,2,0,,,,,,,,['P134'],['P046'],,,,False,,,,,,0,0,1,1
B36,name97,mentor97@email.com,False,2,0,4,0,,,,,,,,,"['P010', 'P117']","['P098', 'P136']",,,False,,,,,,0,0,2,0
B37,name98,mentor98@email.com,False,2,0,3,0,,,,,,,,['P145'],,"['P026', 'P120']",,,False,,,,,,0,0,2,0
B38,name99,mentor99@email.com,True,2,0,7,0,,,,,,['P063'],['P120'],['P090'],"['P004', 'P019', 'P026', 'P146']",,,,False,,,,,P063 P004 ,0,2,2,0
B39,name100,mentor100@email.com,True,3,3,9,5,"['M013', 'M039']","['M010', 'M088']",['M035'],,,"['P001', 'P014', 'P070', 'P120', 'P134', 'P143']",['P137'],['P026'],,['P090'],,,True,"['M039', 'M010', 'M013']","['P120', 'P070', 'P026']",,M039 ,P120 ,1,1,3,2
B40,name101,mentor101@email.com,True,2,0,21,0,,,,,,"['P021', 'P035', 'P041', 'P044', 'P054', 'P061', 'P068', 'P097', 'P111', 'P129']","['P010', 'P019', 'P032', 'P042', 'P052', 'P090']",['P121'],['P070'],"['P004', 'P063', 'P134']",,,True,[],"['P054', 'P061']",,,P054 P061 ,0,2,2,0
B41,name102,mentor102@email.com,True,1,1,3,1,,,,['M034'],,,['P130'],['P035'],,['P070'],,,True,['M034'],['P130'],,,,0,0,2,0
B42,name103,mentor103@email.com,True,5,1,11,2,,,['M034'],,['M010'],['P042'],['P061'],"['P010', 'P052', 'P070']","['P035', 'P121']","['P032', 'P097', 'P129', 'P130']",,,True,['M034'],"['P042', 'P130', 'P052', 'P129', 'P032']",,,P042 P052 ,0,2,1,0
B43,name104,mentor104@email.com,True,4,0,7,0,,,,,,,['P070'],"['P032', 'P061']","['P044', 'P130']","['P010', 'P022']",,,True,[],"['P070', 'P010', 'P032', 'P130']",,,P070 ,0,1,2,0
B44,name105,mentor105@email.com,True,4,0,6,1,,,,,['M021'],['P034'],"['P021', 'P099', 'P121']",['P123'],,['P019'],,,True,[],"['P123', 'P099', 'P019', 'P034']",,,,0,0,2,0
B45,name106,mentor106@email.com,True,2,0,5,1,,,['M088'],,,"['P099', 'P123']",,"['P029', 'P039', 'P041']",,,,,True,[],"['P123', 'P099']",,,P123 ,0,1,2,0
B46,name107,mentor107@email.com,True,5,0,10,1,['M080'],,,,,['P107'],"['P001', 'P086', 'P116', 'P138']","['P011', 'P054', 'P081']",['P064'],['P042'],,,True,[],"['P107', 'M080', 'P086', 'P138', 'P116']",,,P107 P116 ,0,2,3,0
B47,name108,mentor108@email.com,True,0,0,1,0,,,,,,,,['P001'],,,,,True,[],[],,,,0,0,1,0
B48,name109,mentor109@email.com,True,1,3,2,3,,['M021'],['M070'],,['M080'],,,,,"['P052', 'P111']",,,True,"['M021', 'M070', 'M080']",['P111'],,M070 ,P111 ,1,1,2,2
B49,name110,mentor110@email.com,True,0,2,0,2,,,,"['M035', 'M080']",,,,,,,,,True,"['M080', 'M035']",[],,,,0,0,0,2
B50,name111,mentor111@email.com,True,2,0,2,0,,,,,,,,,"['P034', 'P123']",,,,True,[],"['P034', 'P123']",,,,0,0,2,0
B51,name112,mentor112@email.com,True,2,0,2,0,,,,,,,,,"['P029', 'P048']",,,,True,[],"['P048', 'P029']",,,,0,0,2,2
B52,name113,mentor113@email.com,True,1,1,1,0,,,,,,,,,,['P048'],,,False,,,,,,0,0,1,1
B53,name114,mentor114@email.com,True,3,0,7,1,['M041'],,,,,['P083'],['P107'],['P116'],"['P011', 'P082', 'P137']",['P002'],,,True,[],"['P011', 'P107', 'P082']",,,P082 ,0,1,2,2
B54,name115,mentor115@email.com,False,3,0,6,0,,,,,,,['P136'],['P022'],['P001'],"['P011', 'P057', 'P064']",,,False,,,,,P136 P001 ,0,2,3,0
B55,name116,mentor116@email.com,False,2,1,3,2,,,['M058'],['M088'],,['P019'],['P035'],['P004'],,,,,False,,,,M088 ,P019 P035 ,1,2,2,1
B56,name117,mentor117@email.com,True,1,0,2,0,,,,,,"['P116', 'P142']",,,,,,,True,[],['P142'],,,P142 ,0,1,2,0
B57,name118,mentor118@email.com,True,2,2,0,1,,,,,['M034'],,,,,,,,False,,,,,,0,0,2,2
B58,name119,mentor119@email.com,True,0,1,0,1,,,,['M085'],,,,,,,,,True,['M085'],[],,,,0,0,1,1
B59,name120,mentor120@email.com,True,1,1,9,1,,,['M080'],,,['P010'],"['P044', 'P068']",['P130'],"['P042', 'P052', 'P098', 'P138']",['P116'],,,False,,,,M080 ,P010 ,1,1,1,1
C01,name121,mentor121@email.com,True,0,1,0,1,,,,,['M077'],,,,,,,,True,['M077'],[],,,,0,0,1,0
C02,name122,mentor122@email.com,True,3,0,5,1,,,,,['M063'],"['P049', 'P056']",,['P144'],['P062'],['P012'],,,True,[],"['P056', 'P144', 'P062']",,,P056 ,0,1,1,1
C03,name123,mentor123@email.com,False,1,1,3,2,,,,['M063'],['M075'],,,"['P012', 'P062']",,['P144'],,,False,,,,,,0,0,1,1
C04,name124,mentor124@email.com,False,2,2,1,0,,,,,,,['P012'],,,,,,False,,,,,,0,0,2,2
C05,name125,mentor125@email.com,True,1,0,1,0,,,,,,['P012'],,,,,,,True,[],['P012'],,,P012 ,0,1,3,0
C06,name126,mentor126@email.com,False,2,0,1,0,,,,,,,,,['P056'],,,,False,,,,,,0,0,2,0
C07,name127,mentor127@email.com,True,2,1,4,1,['M063'],,,,,"['P036', 'P144']",['P056'],,,['P049'],,,True,['M063'],"['P036', 'P144']",,M063 ,P036 ,1,1,2,0
C08,name128,mentor128@email.com,True,3,0,3,0,,,,,,,['P119'],,['P036'],['P053'],,,True,[],"['P053', 'P036', 'P119']",,,,0,0,2,1
C09,name129,mentor129@email.com,True,3,0,5,0,,,,,,,,['P036'],"['P053', 'P119']","['P095', 'P105']",,,True,[],"['P095', 'P105', 'P053']",,,P095 ,0,1,2,0
C10,name130,mentor130@email.com,False,2,0,3,0,,,,,,,,['P119'],"['P012', 'P129']",,,,False,,,,,P129 ,0,1,2,0
C11,name131,mentor131@email.com,False,2,0,4,2,,"['M034', 'M063']",,,,['P119'],"['P036', 'P146']",,['P144'],,,,False,,,,,P119 ,0,1,2,0
C12,name132,mentor132@email.com,True,3,0,4,1,,,['M063'],,,,['P144'],['P056'],,"['P036', 'P119']",,,True,[],"['P144', 'P119', 'P036']",,,P144 ,0,1,2,0
C13,name133,mentor133@email.com,True,2,0,3,1,,,,['M025'],,,['P096'],"['P059', 'P139']",,,,,True,[],"['P096', 'P139']",,,P096 ,0,1,2,0
C14,name134,mentor134@email.com,False,1,1,2,1,['M077'],,,,,['P030'],,,['P105'],,,,False,,,,M077 ,P030 ,1,1,1,1
C15,name135,mentor135@email.com,True,1,0,1,0,,,,,,,,,['P055'],,,,True,[],['P055'],,,,0,0,1,0
C16,name136,mentor136@email.com,True,2,0,2,0,,,,,,,,['P015'],,['P055'],,,True,[],"['P015', 'P055']",,,,0,0,1,0
C17,name137,mentor137@email.com,True,3,3,2,1,,,,,['M081'],,,['P055'],,['P096'],,,False,,,,,,0,0,3,3
C18,name138,mentor138@email.com,False,1,1,1,0,,,,,,,,['P124'],,,,,False,,,,,P124 ,0,1,1,1
C19,name139,mentor139@email.com,True,2,0,3,0,,,,,,,['P088'],,"['P096', 'P112']",,,,True,[],"['P088', 'P112']",,,,0,0,2,0
C20,name140,mentor140@email.com,True,2,0,3,1,['M075'],,,,,['P096'],['P139'],['P102'],,,,,True,[],"['P139', 'P102']",,,,0,0,1,0
C21,name141,mentor141@email.com,False,1,0,3,0,,,,,,['P117'],,['P096'],,['P102'],,,False,,,,,P117 ,0,1,1,0
C22,name142,mentor142@email.com,False,5,0,2,0,,,,,,"['P059', 'P102']",,,,,,,False,,,,,P059 ,0,1,5,0
C23,name143,mentor143@email.com,False,2,2,1,0,,,,,,,,['P112'],,,,,False,,,,,,0,0,2,2
C25,name144,mentor144@email.com,False,2,0,4,0,,,,,,,['P102'],,"['P059', 'P139']",['P112'],,,False,,,,,P102 ,0,1,2,0
C26,name145,mentor145@email.com,False,1,1,3,0,,,,,,,"['P059', 'P112']",['P003'],,,,,False,,,,,,0,0,1,1
C27,name146,mentor146@email.com,False,1,0,4,0,,,,,,['P112'],,['P088'],['P102'],['P059'],,,False,,,,,P112 ,0,1,1,0
C28,name147,mentor147@email.com,False,3,1,1,2,['M081'],,['M075'],,,['P139'],,,,,,,False,,,,M081 ,P139 ,1,1,3,1
C29,name148,mentor148@email.com,False,2,0,1,0,,,,,,,,,,['P106'],,,False,,,,,P106 ,0,1,2,0
C30,name149,mentor149@email.com,False,1,1,2,1,,['M081'],,,,['P118'],,,,['P139'],,,False,,,,,P118 ,0,1,1,1
D01,name150,mentor150@email.com,True,3,1,5,3,,,,['M046'],"['M026', 'M058']","['P038', 'P057']","['P030', 'P141']",,['P135'],,,,True,"['M026', 'P135']","['P038', 'P057', 'P141']",,,P038 ,0,1,2,2
D02,name151,mentor151@email.com,True,3,1,5,2,,['M026'],,,['M046'],['P098'],,"['P030', 'P135']",['P106'],['P141'],,,True,['M026'],"['P098', 'P135', 'P030']",,,P098 ,0,1,2,1
D03,name152,mentor152@email.com,True,4,0,4,1,['M086'],,,,,['P110'],,"['P038', 'P141']",['P057'],,,,True,[],"['P141', 'P057', 'P110', 'P038']",,,P057 ,0,1,1,0
D04,name153,mentor153@email.com,False,1,0,11,1,,,,,['M088'],"['P018', 'P092']","['P026', 'P039', 'P041', 'P071', 'P083', 'P145']",,"['P072', 'P110', 'P134']",,,,False,,,,,P018 ,0,1,1,0
D05,name154,mentor154@email.com,True,3,0,3,1,,,,['M086'],,,['P110'],,['P018'],['P074'],,,True,[],"['P110', 'P018', 'P074']",,,P110 ,0,1,1,0
D06,name155,mentor155@email.com,True,3,0,5,1,,,,,['M086'],"['P026', 'P039']",['P018'],,,"['P041', 'P110']",,,True,[],"['P026', 'P039', 'P018']",,,P026 P039 ,0,2,3,0
D07,name156,mentor156@email.com,True,3,0,3,0,,,,,,"['P074', 'P122']",['P108'],,,,,,True,[],"['P074', 'P108', 'P122']",,,P074 P122 ,0,2,2,2
D08,name157,mentor157@email.com,False,3,3,2,1,,['M046'],,,,['P145'],['P098'],,,,,,False,,,,,P145 ,0,1,3,3
D09,name158,mentor158@email.com,True,4,4,4,4,['M026'],,"['M041', 'M046', 'M086']",,,['P141'],,['P057'],['P038'],['P135'],,,True,"['M026', 'M041', 'M046', 'M086', 'P135']","['P141', 'P057', 'P038', 'P135']",,M026 ,P141 ,1,1,1,1
D10,name159,mentor159@email.com,False,2,2,1,1,,,['M008'],,,,,['P024'],,,,,False,,,,,,0,0,2,2
