mentee_id	name	no_1	no_2	no_3	no_4	no_5	degree	mentor_response	email	note	mentor	match_note
P028	name115	E35	E29	E28	E30	E27	PhD		mentee115@email.com		E29	"select from 2, run 2"
P029	name116	B19	B32	B45	B51	B13	PhD		mentee116@email.com		B13	"single match, run 1"
P030	name117	C14	D01	D02	E20	A64	PhD		mentee117@email.com		C14	"single match, run 1"
P031	name118	E11	E20	E08	E16	E31	PhD		mentee118@email.com		E11	"select from 2, run 1"
P032	name119	B30	B40	B43	B29	B42	PhD		mentee119@email.com		B30	"select from 2, run 1"
P033	name120	A10	A12	A06	A07	A14	PhD		mentee120@email.com		A10	"single match, run 1"
P034	name121	B44	B10	B27	B50	B07	PhD		mentee121@email.com		B10	"select from 2, run 1"
P035	name122	B40	B55	B41	B42	B31	PhD		mentee122@email.com		B55	"select from 2, run 1"
P036	name123	C07	C11	C09	C08	C12	PhD		mentee123@email.com		C07	"single match, run 1"
P037	name124	E35	E32	E01	E04	E26	PhD		mentee124@email.com		E35	"single match, run 1"
P038	name125	D01	D13	D03	D09	D22	PhD		mentee125@email.com		D01	"single match, run 1"
P039	name126	D06	D04	B45	B03	B32	PhD		mentee126@email.com		D06	"select from 3, run 1"
P040	name127	B07	B16	B04	B12	B08	PhD		mentee127@email.com		B07	"single match, run 1"
P041	name128	B40	D04	B45	B12	D06	PhD		mentee128@email.com			
P042	name129	B42	B40	B16	B59	B46	PhD		mentee129@email.com		B42	"single match, run 1"
P043	name130	A37	A36	A35	A33	A34	PhD		mentee130@email.com		A37	"select from 2, run 1"
P044	name131	B40	B59	B12	B43	B30	PhD		mentee131@email.com			
P045	name132	E06	E21	E18	E16	E35	PhD		mentee132@email.com		E06	"single match, run 1"
P046	name133	B03	B30	B11	B35	B32	PhD		mentee133@email.com		B03	"single match, run 1"
P047	name134	A05	A36	A40	A45	A44	PhD		mentee134@email.com		A05	"select from 3, run 1"
P048	name135	B19	B20	B26	B51	B52	PhD		mentee135@email.com		B26	"select from 3, run 1"
P049	name136	C02	E02	E07	E33	C07	PhD		mentee136@email.com		E33	"single match, run 1"
P050	name137	E07	E02	E08	E14	E15	PhD		mentee137@email.com		E07	"select from 3, run 1"
P051	name138	A55	A19	A64	A18	A02	PhD		mentee138@email.com		A19	"select from 2, run 1"
P052	name139	B01	B40	B42	B59	B48	PhD		mentee139@email.com		B42	"single match, run 1"
P053	name140	E07	E09	E08	C09	C08	PhD		mentee140@email.com		E08	"select from 2, run 1"
P054	name141	B40	B12	B46	B07	D16	PhD		mentee141@email.com		B40	"single match, run 1"
P055	name142	E32	E33	C17	C15	C16	PhD		mentee142@email.com		E32	"select from 3, run 1"
P056	name143	C02	C07	C12	C06		PhD		mentee143@email.com		C02	"select from 2, run 1"
P057	name144	D01	D13	D09	D03	B54	PhD		mentee144@email.com		D03	"single match, run 2"
P058	name145	A12	A15	A08	A06	A13	PhD		mentee145@email.com		A12	"select from 2, run 1"
P059	name146	C22	C26	C13	C25	C27	PhD		mentee146@email.com		C22	"select from 2, run 1"
P060	name147	A55	A19	A02	A61	A64	PhD		mentee147@email.com		A55	"select from 2, run 1"
P061	name148	B40	B42	B43	B30	E25	PhD		mentee148@email.com		B40	"single match, run 1"
P062	name149	E02	E06	C03	C02	B31	PhD		mentee149@email.com		E02	"single match, run 1"
P063	name150	B38	B23	B15	B31	B40	PhD		mentee150@email.com		B38	"single match, run 1"
P064	name151	D11	D16	B07	B46	B54	PhD		mentee151@email.com		D11	"single match, run 1"
P065	name152	A30	A28	A29	A09	A12	PhD		mentee152@email.com		A30	"select from 3, run 1"
P066	name153	E12	E18	E11	E22	E17	PhD		mentee153@email.com		E18	"select from 2, run 1"
P067	name154	A34	A15	A32	A31	A62	PhD		mentee154@email.com		A32	"select from 2, run 1"
P068	name155	B40	B59	D17	B30	B12	PhD		mentee155@email.com		D17	"single match, run 1"
P069	name156	A33	A35	A37	A34	A36	PhD		mentee156@email.com		A33	"single match, run 1"
P070	name157	B39	B43	B42	B40	B41	PhD		mentee157@email.com		B43	"single match, run 1"
P071	name158	B12	D04	B07	B17	B04	PhD		mentee158@email.com		B17	"single match, run 1"
P072	name159	B31	B08	B23	D04	B20	PhD		mentee159@email.com		B31	"select from 2, run 1"
P073	name160	A09	A14	A15	A01	A11	PhD		mentee160@email.com		A15	"single match, run 1"
P074	name161	D07	D11	D12	D13	D05	PhD		mentee161@email.com		D07	"single match, run 1"
P075	name162	A11	A07	A10	A29	A14	PhD		mentee162@email.com		A11	"single match, run 1"
P076	name163	E01	E27	E19	E25	E26	PhD		mentee163@email.com		E27	"single match, run 1"
P077	name164	A01	A06	A12	A07	A11	PhD		mentee164@email.com		A01	"single match, run 1"
P078	name165	E01	E22	E25	E12	E19	PhD		mentee165@email.com		E22	"single match, run 1"
P079	name166	D16	D21	D13	D17	D22	PhD		mentee166@email.com		D21	"single match, run 1"
P080	name167	A15	A59	A58	E22	A57	PhD		mentee167@email.com		A15	"select from 3, run 1"
P081	name168	E25	E01	B46	E26	E22	PhD		mentee168@email.com		E25	"single match, run 1"
P082	name169	A09	B07	D16	B53	A15	PhD		mentee169@email.com		B53	"single match, run 2"
P083	name170	B53	D04	B03	B30	B23	PhD		mentee170@email.com		B23	"single match, run 1"
P084	name171	E12		A13		A47	PhD		mentee171@email.com		E12	"single match, run 1"
P085	name172	A02	E01	A18	A52	E16	PhD		mentee172@email.com		E16	"single match, run 2"
P086	name173	B07	B46	E05	B04	B12	PhD		mentee173@email.com		B07	"select from 3, run 1"
P087	name174	E20	E18	E17	E25	E23	PhD		mentee174@email.com		E20	"single match, run 1"
P088	name175	E09	C19	C27	E07	E05	PhD		mentee175@email.com		E09	"select from 2, run 1"
P089	name176	A02	A34	A03	A32	A64	PhD		mentee176@email.com		A02	"select from 2, run 1"
P090	name177	B15	B40	B38	B23	B39	PhD		mentee177@email.com		B15	"single match, run 1"
P091	name178	A52	A51	A53	A03	A04	PhD		mentee178@email.com		A52	"select from 4, run 1"
P092	name179	D04	B23	B08	B04	B11	PhD		mentee179@email.com		B23	"single match, run 1"
P093	name180	E01	E20	E25	E26	E22	PhD		mentee180@email.com		E26	"single match, run 1"
P094	name181	A01	A56	A40	A46	A64	PhD		mentee181@email.com		A40	"select from 2, run 2"
P095	name182	E09	B32	B07	A40	C09	PhD		mentee182@email.com		C09	"single match, run 1"
P096	name183	C20	C13	C21	C19	C17	PhD		mentee183@email.com		C13	"single match, run 1"
P097	name184	B40	D12	B03	D11	B42	PhD		mentee184@email.com		D12	"single match, run 1"
P098	name185	D02	D08	D13	B59	B36	PhD		mentee185@email.com		D02	"single match, run 1"
P099	name186	B45	B44	B05	B20	B23	PhD		mentee186@email.com		B05	"single match, run 1"
P100	name187	E14	E15	D17			PhD		mentee187@email.com		E14	"single match, run 1"
P101	name188	E17	E30	E18	E27	E23	PhD		mentee188@email.com		E17	"select from 2, run 1"
P102	name189	C22	C25	C20	C27	C21	PhD		mentee189@email.com		C25	"single match, run 1"
P103	name190	E33	E32	E34	E16	E02	PhD		mentee190@email.com		E33	"select from 2, run 1"
P104	name191	E22	E19	E01	E25	E30	PhD		mentee191@email.com		E19	"single match, run 1"
P105	name192	E02	E04	E09	C14	C09	PhD		mentee192@email.com		E04	"single match, run 1"
P106	name193	E23	D13	E20	D02	C29	PhD		mentee193@email.com		C29	"single match, run 1"
P107	name194	B46	B53	B12	A57	D16	PhD		mentee194@email.com		B46	"single match, run 1"
P108	name195	D11	D07	D17	D15	D20	PhD		mentee195@email.com		D15	"single match, run 2"
P109	name196	A34	A35	A36	A39	A18	PhD		mentee196@email.com		A39	"select from 2, run 1"
P110	name197	D03	D05	D21	D04	D06	PhD		mentee197@email.com		D05	"single match, run 1"
P111	name198	B40	D16	B12	B07	B48	PhD		mentee198@email.com		B48	"single match, run 1"
P112	name199	C27	C26	C23	C19	C25	PhD		mentee199@email.com		C27	"select from 2, run 1"
P113	name200	A20	A47	A43	A67	E12	PhD		mentee200@email.com		A20	"single match, run 1"
P114	name201	E08	E05	E16	E10	E15	PhD		mentee201@email.com		E05	"select from 3, run 1"
P115	name202	E30	E09	E28	E29	E05	PhD		mentee202@email.com		E28	"select from 2, run 1"
P116	name203	B56	B46	B53	E05	B59	PhD		mentee203@email.com		B46	"single match, run 2"
P117	name204	C21	B12	E05	B36	B07	PhD		mentee204@email.com		C21	"single match, run 1"
P118	name205	C30	D15	B14	E13	E21	PhD		mentee205@email.com		C30	"select from 2, run 1"
P119	name206	C11	C08	C10	C09	C12	PhD		mentee206@email.com		C11	"select from 2, run 1"
P120	name207	B39	B38	B15	B18	B37	PhD		mentee207@email.com		B39	"single match, run 1"
P121	name208	B27	B44	B40	B42	B14	PhD		mentee208@email.com		B27	"single match, run 1"
P122	name209	D07	D11	D12			PhD		mentee209@email.com		D07	"single match, run 1"
P123	name210	B45	B05	B44	B50	B10	PhD		mentee210@email.com		B45	"select from 2, run 1"
P124	name211	E14	E20	C18	E02	E03	PhD		mentee211@email.com		C18	"single match, run 1"
P125	name212	E01	E23	E30	E17	E22	PhD		mentee212@email.com		E01	"select from 2, run 1"
P126	name213	A01	A16	A07	A14	A06	PhD		mentee213@email.com		A14	"single match, run 1"
P127	name214	E12	E30	E13	E09	E01	PhD		mentee214@email.com		E12	"select from 2, run 1"
P128	name215	A12	A06	A10	A14	A11	PhD		mentee215@email.com		A06	"single match, run 1"
P129	name216	B40	B15	B24	C10	B42	PhD		mentee216@email.com		C10	"single match, run 2"
P130	name217	D16	B41	B59	B43	B42	PhD		mentee217@email.com		D16	"select from 2, run 1"
P131	name218	E02	E03	E09	E07	E32	PhD		mentee218@email.com		E03	"single match, run 1"
P132	name219	E09	E30	E20	E12	E19	PhD		mentee219@email.com		E30	"single match, run 3"
P133	name220	A02	A62	A61	A40	A18	PhD		mentee220@email.com		A62	"select from 2, run 1"
P134	name221	B39	B21	B35	D04	B40	PhD		mentee221@email.com		B21	"select from 2, run 1"
P135	name222	D13	A42	D02	D01	D09	PhD		mentee222@email.com		D13	"select from 2, run 1"
P136	name223	B07	B54	B04	B12	B36	PhD		mentee223@email.com		B54	"select from 2, run 1"
P137	name224	B32	B39	B03	B53	B04	PhD		mentee224@email.com		B32	"single match, run 1"
P138	name225	B30	B46	B12	B59	E13	PhD		mentee225@email.com		E13	"single match, run 1"
P139	name226	C28	C20	C13	C25	C30	PhD		mentee226@email.com		C28	"select from 2, run 1"
P140	name227	A66	E11	E19	D13	D16	PhD		mentee227@email.com		A66	"single match, run 1"
P141	name228	D09	D01	D03	D22	D02	PhD		mentee228@email.com		D09	"select from 2, run 1"
P142	name229	B56	B19	B06	B03	B04	PhD		mentee229@email.com		B56	"select from 2, run 1"
P143	name230	B39	B06	B14	B21	B27	PhD		mentee230@email.com		B06	"single match, run 1"
P144	name231	C07	C12	C02	C11	C03	PhD		mentee231@email.com		C12	"single match, run 1"
P145	name232	D08	D04	B37	B08	B23	PhD		mentee232@email.com		D08	"select from 2, run 1"
P146	name233	B28	C11	B12	B38	B09	PhD		mentee233@email.com		B28	"single match, run 1"
