mentor_id,name,email,review_info,capacity_PhD,capacity_MSc,assigned_PhD,assigned_MSc,MSc: no_1,MSc: no_2,MSc: no_3,MSc: no_4,MSc: no_5,PhD: no_1,PhD: no_2,PhD: no_3,PhD: no_4,PhD: no_5,combined_mentor_id,verification_code,mentee_response,response_MSc,response_PhD,response_reasons,mentee_MSc,mentee_PhD,no_match_MSc,no_match_PhD,raw_capacity_PhD,raw_capacity_MSc,over_capacity,verification_code2
B38,name99,mentor99@email.com,True,2,0,7,0,,,,,,['P063'],['P120'],['P090'],"['P004', 'P019', 'P026', 'P146']",,,,False,,,,,P063 P004 ,0,2,2,0,False,l19HdWJzcI
B39,name100,mentor100@email.com,True,3,3,9,5,"['M013', 'M039']","['M010', 'M088']",['M035'],,,"['P001', 'P014', 'P070', 'P120', 'P134', 'P143']",['P137'],['P026'],,['P090'],,,True,"['M039', 'M010', 'M013']","['P120', 'P070', 'P026']",,M039 ,P120 ,1,1,3,2,False,VXmnPO5qhj
B40,name101,mentor101@email.com,True,2,0,21,0,,,,,,"['P021', 'P035', 'P041', 'P044', 'P054', 'P061', 'P068', 'P097', 'P111', 'P129']","['P010', 'P019', 'P032', 'P042', 'P052', 'P090']",['P121'],['P070'],"['P004', 'P063', 'P134']",,,True,[],"['P054', 'P061']",,,P054 P061 ,0,2,2,0,False,KSZLR59APb
B42,name103,mentor103@email.com,True,5,1,11,2,,,['M034'],,['M010'],['P042'],['P061'],"['P010', 'P052', 'P070']","['P035', 'P121']","['P032', 'P097', 'P129', 'P130']",,,True,['M034'],"['P042', 'P130', 'P052', 'P129', 'P032']",,,P042 P052 ,0,2,1,0,True,56zo3og1yA
B43,name104,mentor104@email.com,True,4,0,7,0,,,,,,,['P070'],"['P032', 'P061']","['P044', 'P130']","['P010', 'P022']",,,True,[],"['P070', 'P010', 'P032', 'P130']",,,P070 ,0,1,2,0,False,oaoekF88tl
B45,name106,mentor106@email.com,True,2,0,5,1,,,['M088'],,,"['P099', 'P123']",,"['P029', 'P039', 'P041']",,,,,True,[],"['P123', 'P099']",,,P123 ,0,1,2,0,False,qkYLXzAGpN
B46,name107,mentor107@email.com,True,5,0,10,1,['M080'],,,,,['P107'],"['P001', 'P086', 'P116', 'P138']","['P011', 'P054', 'P081']",['P064'],['P042'],,,True,[],"['P107', 'M080', 'P086', 'P138', 'P116']",,,P107 P116 ,0,2,3,0,False,oJDtxvMvw1
B48,name109,mentor109@email.com,True,1,3,2,3,,['M021'],['M070'],,['M080'],,,,,"['P052', 'P111']",,,True,"['M021', 'M070', 'M080']",['P111'],,M070 ,P111 ,1,1,2,2,False,j940vxlnhR
B53,name114,mentor114@email.com,True,3,0,7,1,['M041'],,,,,['P083'],['P107'],['P116'],"['P011', 'P082', 'P137']",['P002'],,,True,[],"['P011', 'P107', 'P082']",,,P082 ,0,1,2,2,False,2koqk8KGia
B54,name115,mentor115@email.com,False,3,0,6,0,,,,,,,['P136'],['P022'],['P001'],"['P011', 'P057', 'P064']",,,False,,,,,P136 P001 ,0,2,3,0,False,fh5TJIWEps
B55,name116,mentor116@email.com,False,2,1,3,2,,,['M058'],['M088'],,['P019'],['P035'],['P004'],,,,,False,,,,M088 ,P019 P035 ,1,2,2,1,False,bwttcItLcI
B56,name117,mentor117@email.com,True,1,0,2,0,,,,,,"['P116', 'P142']",,,,,,,True,[],['P142'],,,P142 ,0,1,2,0,False,HSZSfrrEE5
B59,name120,mentor120@email.com,True,1,1,9,1,,,['M080'],,,['P010'],"['P044', 'P068']",['P130'],"['P042', 'P052', 'P098', 'P138']",['P116'],,,False,,,,M080 ,P010 ,1,1,1,1,False,JmLCXS2pHl
C02,name122,mentor122@email.com,True,3,0,5,1,,,,,['M063'],"['P049', 'P056']",,['P144'],['P062'],['P012'],,,True,[],"['P056', 'P144', 'P062']",,,P056 ,0,1,1,1,False,9L4YTL4WHz
C05,name125,mentor125@email.com,True,1,0,1,0,,,,,,['P012'],,,,,,,True,[],['P012'],,,P012 ,0,1,3,0,False,J2I0kOVVfM
C07,name127,mentor127@email.com,True,2,1,4,1,['M063'],,,,,"['P036', 'P144']",['P056'],,,['P049'],,,True,['M063'],"['P036', 'P144']",,M063 ,P036 ,1,1,2,0,True,qKkMZXlaih
C09,name129,mentor129@email.com,True,3,0,5,0,,,,,,,,['P036'],"['P053', 'P119']","['P095', 'P105']",,,True,[],"['P095', 'P105', 'P053']",,,P095 ,0,1,2,0,False,uTJYqrT71b
C10,name130,mentor130@email.com,False,2,0,3,0,,,,,,,,['P119'],"['P012', 'P129']",,,,False,,,,,P129 ,0,1,2,0,False,F4vYGcuOLP
C11,name131,mentor131@email.com,False,2,0,4,2,,"['M034', 'M063']",,,,['P119'],"['P036', 'P146']",,['P144'],,,,False,,,,,P119 ,0,1,2,0,False,kuYYF5IDGP
C12,name132,mentor132@email.com,True,3,0,4,1,,,['M063'],,,,['P144'],['P056'],,"['P036', 'P119']",,,True,[],"['P144', 'P119', 'P036']",,,P144 ,0,1,2,0,False,W2JSC1uChw
C13,name133,mentor133@email.com,True,2,0,3,1,,,,['M025'],,,['P096'],"['P059', 'P139']",,,,,True,[],"['P096', 'P139']",,,P096 ,0,1,2,0,False,YTYdL2cPxx
C14,name134,mentor134@email.com,False,1,1,2,1,['M077'],,,,,['P030'],,,['P105'],,,,False,,,,M077 ,P030 ,1,1,1,1,False,ORvIjOnJNS
C18,name138,mentor138@email.com,False,1,1,1,0,,,,,,,,['P124'],,,,,False,,,,,P124 ,0,1,1,1,False,ceQtx1fI3p
C21,name141,mentor141@email.com,False,1,0,3,0,,,,,,['P117'],,['P096'],,['P102'],,,False,,,,,P117 ,0,1,1,0,False,qdF6x0pYBI
C22,name142,mentor142@email.com,False,5,0,2,0,,,,,,"['P059', 'P102']",,,,,,,False,,,,,P059 ,0,1,5,0,False,ksQ1ciffny
C25,name144,mentor144@email.com,False,2,0,4,0,,,,,,,['P102'],,"['P059', 'P139']",['P112'],,,False,,,,,P102 ,0,1,2,0,False,2zTQyLQKoh
C27,name146,mentor146@email.com,False,1,0,4,0,,,,,,['P112'],,['P088'],['P102'],['P059'],,,False,,,,,P112 ,0,1,1,0,False,YCopDX1s7u
C28,name147,mentor147@email.com,False,3,1,1,2,['M081'],,['M075'],,,['P139'],,,,,,,False,,,,M081 ,P139 ,1,1,3,1,False,h1ScGEeFsN
C29,name148,mentor148@email.com,False,2,0,1,0,,,,,,,,,,['P106'],,,False,,,,,P106 ,0,1,2,0,False,hNa0A6ezzY
C30,name149,mentor149@email.com,False,1,1,2,1,,['M081'],,,,['P118'],,,,['P139'],,,False,,,,,P118 ,0,1,1,1,False,CXlhioTHb3
D01,name150,mentor150@email.com,True,3,1,5,3,,,,['M046'],"['M026', 'M058']","['P038', 'P057']","['P030', 'P141']",,['P135'],,,,True,"['M026', 'P135']","['P038', 'P057', 'P141']",,,P038 ,0,1,2,2,False,pIDmY4Ez7P
D02,name151,mentor151@email.com,True,3,1,5,2,,['M026'],,,['M046'],['P098'],,"['P030', 'P135']",['P106'],['P141'],,,True,['M026'],"['P098', 'P135', 'P030']",,,P098 ,0,1,2,1,False,NKjyLAMUPw
D03,name152,mentor152@email.com,True,4,0,4,1,['M086'],,,,,['P110'],,"['P038', 'P141']",['P057'],,,,True,[],"['P141', 'P057', 'P110', 'P038']",,,P057 ,0,1,1,0,False,9I17xQVu2M
D04,name153,mentor153@email.com,False,1,0,11,1,,,,,['M088'],"['P018', 'P092']","['P026', 'P039', 'P041', 'P071', 'P083', 'P145']",,"['P072', 'P110', 'P134']",,,,False,,,,,P018 ,0,1,1,0,False,v4OIoD8tyE
D05,name154,mentor154@email.com,True,3,0,3,1,,,,['M086'],,,['P110'],,['P018'],['P074'],,,True,[],"['P110', 'P018', 'P074']",,,P110 ,0,1,1,0,False,Vzn5pRAw4A
D06,name155,mentor155@email.com,True,3,0,5,1,,,,,['M086'],"['P026', 'P039']",['P018'],,,"['P041', 'P110']",,,True,[],"['P026', 'P039', 'P018']",,,P026 P039 ,0,2,3,0,False,jIPJCillGv
D07,name156,mentor156@email.com,True,3,0,3,0,,,,,,"['P074', 'P122']",['P108'],,,,,,True,[],"['P074', 'P108', 'P122']",,,P074 P122 ,0,2,2,2,False,yyk7xZh2Hf
D08,name157,mentor157@email.com,False,3,3,2,1,,['M046'],,,,['P145'],['P098'],,,,,,False,,,,,P145 ,0,1,3,3,False,CJInSHkcgz
D09,name158,mentor158@email.com,True,4,4,4,4,['M026'],,"['M041', 'M046', 'M086']",,,['P141'],,['P057'],['P038'],['P135'],,,True,"['M026', 'M041', 'M046', 'M086', 'P135']","['P141', 'P057', 'P038', 'P135']",,M026 ,P141 ,1,1,1,1,False,W9m53gSSVa
D11,name160,mentor160@email.com,False,1,0,6,0,,,,,,"['P064', 'P108']","['P074', 'P122']",,['P097'],['P020'],,,False,,,,,P064 ,0,1,1,0,False,CGTehwyGG5
D12,name161,mentor161@email.com,True,3,1,4,1,,['M086'],,,,['P020'],['P097'],"['P074', 'P122']",,,,,True,['M086'],"['P020', 'P097', 'P074']",,M086 ,P020 P097 ,1,2,1,1,True,1EMhhfSotb
D13,name162,mentor162@email.com,False,1,1,8,3,['M046'],['M041'],,['M026'],,['P135'],"['P038', 'P057', 'P106']","['P079', 'P098']","['P074', 'P140']",,,,False,,,,M046 ,P135 ,1,1,1,1,False,0WRRmOyL99
D15,name164,mentor164@email.com,True,2,0,2,0,,,,,,,['P118'],,['P108'],,,,True,[],"['P118', 'P108']",,,P108 ,0,1,1,0,False,7iwc9VZo9T
D16,name165,mentor165@email.com,True,1,0,8,1,,['M080'],,,,"['P079', 'P130']","['P064', 'P111']",['P082'],,"['P054', 'P107', 'P140']",,,True,[],['P130'],,,P130 ,0,1,1,1,False,4PZjI1ycIC
D17,name166,mentor166@email.com,False,2,2,4,0,,,,,,,,"['P068', 'P100', 'P108']",['P079'],,,,False,,,,,P068 ,0,1,2,2,False,ybQqcUszZG
D18,name167,mentor167@email.com,True,1,1,2,1,['M008'],,,,,['P024'],,,,['P015'],,,True,['M008'],['P024'],,M008 ,P024 ,1,1,3,2,False,BV7VmZR6NJ
D20,name168,mentor168@email.com,True,2,0,2,0,,,,,,,['P014'],,,['P108'],,,True,[],"['P014', 'P108']",,,P014 ,0,1,1,0,False,kGnzlS66ih
D21,name169,mentor169@email.com,True,1,0,2,0,,,,,,,['P079'],['P110'],,,,,True,[],['P079'],,,P079 ,0,1,1,0,False,jw50BuBkv8
D22,name170,mentor170@email.com,True,0,2,3,2,,,['M026'],['M041'],,,,,['P141'],"['P038', 'P079']",,,True,"['M026', 'M041']",[],,M041 ,,1,0,0,1,False,nGOBL1Pow8
E01,name171,mentor171@email.com,True,4,2,11,22,"['M014', 'M030', 'M031', 'M051', 'M060', 'M065', 'M071']","['M002', 'M005', 'M027', 'M036', 'M066', 'M083']","['M004', 'M011', 'M019', 'M025', 'M074']","['M070', 'M073']","['M007', 'M032', 'M044']","['P076', 'P078', 'P093', 'P125']","['P007', 'P013', 'P081', 'P085']","['P037', 'P104']",,['P127'],,,True,"['M002', 'M036']","['P125', 'P093', 'P078', 'P076']",,M036 ,P125 ,1,1,5,5,False,LCMW3ysOow
E02,name172,mentor172@email.com,False,1,0,8,0,,,,,,"['P062', 'P105', 'P131']","['P049', 'P050']",['P027'],['P124'],['P103'],,,False,,,,,P062 ,0,1,1,0,False,kzGNDdQQHb
E03,name173,mentor173@email.com,False,2,0,2,0,,,,,,,['P131'],,,['P124'],,,False,,,,,P131 ,0,1,2,0,False,AOd1ReqaC2
E04,name174,mentor174@email.com,True,1,0,3,0,,,,,,,['P105'],,['P037'],['P007'],,,True,[],['P105'],,,P105 ,0,1,1,0,False,WjXBJ9xPbV
E05,name175,mentor175@email.com,True,1,1,6,3,,,['M033'],"['M043', 'M081']",,,['P114'],"['P086', 'P117']",['P116'],"['P088', 'P115']",,,False,,,,,P114 ,0,1,1,1,False,rFGBcpDsli
E06,name176,mentor176@email.com,False,2,2,2,2,,,,['M083'],['M070'],['P045'],['P062'],,,,,,False,,,,M083 ,P045 ,1,1,2,2,False,i9bNfk4aNJ
E07,name177,mentor177@email.com,True,2,0,6,0,,,,,,"['P027', 'P050', 'P053']",,['P049'],"['P088', 'P131']",,,,True,[],"['P027', 'P050']",,,P027 P050 ,0,2,1,0,True,luv797JKKf
E08,name178,mentor178@email.com,True,3,0,4,2,,,"['M039', 'M057']",,,['P114'],,"['P031', 'P050', 'P053']",,,,,True,[],"['P053', 'P114', 'P050']",,,P053 ,0,1,3,3,False,UQI50y1wLZ
E09,name179,mentor179@email.com,True,3,0,9,0,,,,,,"['P088', 'P095', 'P132']","['P027', 'P053', 'P115']","['P105', 'P131']",['P127'],,,,True,[],"['P088', 'P053', 'P115']",,,P088 ,0,1,1,0,False,lSH885rRfr
E10,name180,mentor180@email.com,True,1,1,1,1,,,,,['M043'],,,,['P114'],,,,True,['M043'],['P114'],,M043 ,,1,0,2,2,False,lezdnNPv9J
E11,name181,mentor181@email.com,False,1,0,3,1,,['M016'],,,,['P031'],['P140'],['P066'],,,,,False,,,,,P031 ,0,1,1,0,False,8AEvEQdUrR
E12,name182,mentor182@email.com,True,5,4,8,19,"['M018', 'M036', 'M066']","['M031', 'M044', 'M051', 'M073', 'M087']","['M014', 'M083', 'M084']","['M004', 'M011', 'M032', 'M065', 'M068', 'M074']","['M002', 'M060']","['P007', 'P066', 'P084', 'P127']",,['P016'],"['P078', 'P132']",['P113'],,,True,"['M066', 'M036', 'M018', 'M073']","['P127', 'P084', 'P066', 'P007', 'P016']",,M066 M018 M073 ,P127 P084 ,3,2,3,3,False,f5km12DEDN
